COD_BENEF_BI,FECHAINI,HORAINI,DURACION,CSE_RSH,EDAD_GRUPO,SEXO,DIRECCION_ZONAL,P00,P0,P1,P2,P3,P4,P5,P6,P7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,FE
70515441,08-12-2021,12:58:47,679,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Por edad no conviene Isapre,,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Los Ángeles,Sí,Sí,6573.25
78603314,13-12-2021,12:34:12,357,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Otra razón,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,4000,No,Sí,Sí,Pensionado,No,,No,,Puente Alto,Sí,No,6813.6841
999,14-12-2021,12:31:29,903,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Es más económico Fonasa,,No,No,No necesito,Sí,Urgente,Muy urgente,Urgente,Muy urgente,Urgente,Urgente,Urgente,Igual que presencial,No,,,,,,No,Sí,No,Trabaja remuneradamente,No,,No,,Lo Espejo,No,No,6599.2856
73268821,11-12-2021,15:21:55,258,41-80,60+,HOMBRE,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Muy urgente,Muy urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Viña del Mar,Sí,Sí,6720.25
77127569,10-12-2021,18:52:28,505,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,Urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, algunos",,Sí,80000,No,Sí,Sí,Pensionado,"Sí, en centro privado",3700000,No,,Melipilla,Sí,Sí,6813.6841
79579076,14-12-2021,14:28:06,359,41-80,60+,MUJER,S,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,100000,No,No,,Pensionado,No,,No,,Frutillar,Sí,Sí,5803.6665
69862758,06-12-2021,16:48:59,458,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,"Prefiero no, por Covid",Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Nada urgente,Nada urgente,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,San Miguel,Sí,Sí,6813.6841
69987210,03-12-2021,16:57:50,246,0-40,60+,HOMBRE,N,Sí,Sí,Fonasa,Es más económico Fonasa,,No,No,No necesito,No,Urgente,Urgente,Muy urgente,Urgente,Urgente,Urgente,Urgente,Igual que presencial,No,,,,,,No,Sí,No,Trabaja remuneradamente,No,,No,,Santiago,Sí,Sí,6800.1665
75152699,16-12-2021,14:50:51,304,0-40,60+,HOMBRE,CN,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,No,No,No necesito,No,Muy urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,Sí,,Papudo,Sí,Sí,6495.625
70799002,17-12-2021,14:51:53,704,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Otra razón,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,Urgente,Muy urgente,Muy urgente,Urgente,Muy urgente,Sólo en restricciones,Sí,Consultorio,"Sí, algunos",,Sí,37000,No,No,,Pensionado,No,,No,,San Bernardo,Sí,Sí,6813.6841
69945080,09-12-2021,17:05:30,372,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Urgente,Nada urgente,No lo necesito,No lo necesito,Poco urgente,Nada urgente,No lo necesito,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Quinta Normal,Sí,Sí,6565.9058
70262477,15-12-2021,14:04:11,482,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Muy urgente,Igual que presencial,Sí,Consultorio,"Sí, todos",,Sí,5000,No,Sí,No,Pensionado,No,,No,,Cerrillos,Sí,Sí,6599.2856
999,08-12-2021,16:00:14,257,41-80,60+,HOMBRE,CS,Sí,Sí,Ninguno,,,Sí,No,,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,No,,Trabaja remuneradamente,No,,No,,Contulmo,No,Sí,6290.7002
67568853,13-12-2021,14:44:27,561,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Urgente,No lo necesito,No lo necesito,No lo necesito,Nada urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,45000,No,Sí,No,Pensionado,No,,No,,Melipilla,Sí,Sí,6565.9058
68386772,13-12-2021,15:07:37,285,0-40,60+,MUJER,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,Sí,Pensionado,No,,No,,Talca,Sí,Sí,6680.04
80864508,09-12-2021,17:17:06,226,41-80,60+,MUJER,CN,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Nada urgente,No lo necesito,No lo necesito,Nada urgente,Nada urgente,No lo necesito,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Chillán,Sí,Sí,6622.8569
68506475,18-12-2021,12:01:16,413,41-80,60+,HOMBRE,CN,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Urgente,Muy urgente,,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Ovalle,Sí,Sí,6720.25
71524462,14-12-2021,15:02:25,448,>80-NA,60+,HOMBRE,N,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,No,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Urgente,Muy urgente,Muy urgente,No me atendería,No,,,,,,No,No,,Otra situación,No,,No,,Tocopilla,Sí,Sí,4979.3335
74871257,11-12-2021,16:05:05,562,0-40,60+,MUJER,N,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,Urgente,Urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"No, ninguno",No están disponibles,Sí,17000,No,Sí,No,Pensionado,No,,No,,Copiapó,Sí,Sí,6412.5
999,03-12-2021,19:02:40,186,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,Otra razón,,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,No,,No sabe,No,,No,,Andacollo,No,No,6797.7646
71423177,09-12-2021,17:58:09,387,>80-NA,60+,HOMBRE,S,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,Nada urgente,No lo necesito,No lo necesito,Poco urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Hospital público,"Sí, todos",,No,,No,No,,Trabaja remuneradamente,No,,No,,Temuco,Sí,Sí,6577
74579942,14-12-2021,16:29:15,332,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Conchalí,Sí,Sí,6599.2856
81997945,13-12-2021,11:40:05,1105,41-80,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,,No,,,,,,No,No,,Quehaceres del hogar,No,,No,,Río Claro,Sí,Sí,6290.7002
69951663,11-12-2021,13:56:57,407,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Poco urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, algunos",,Sí,20000,No,No,,Pensionado,No,,No,,Lo Prado,Sí,Sí,6565.9058
73874490,03-12-2021,19:18:44,330,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Igual que presencial,No,,,,,,No,No,,Pensionado,No,,No,,Villa Alemana,Sí,Sí,6851.6313
74024071,09-12-2021,16:38:58,357,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Osorno,Sí,Sí,6797.7646
67291472,14-12-2021,17:12:56,265,41-80,60+,MUJER,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Zapallar,Sí,Sí,6622.8569
70721100,13-12-2021,13:36:05,580,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Médico particular,"Sí, algunos",,Sí,45000,Sí,Sí,No,Pensionado,No,,Sí,5000,San José de Maipo,Sí,Sí,6565.9058
73893985,03-12-2021,17:28:15,653,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me cambiaría a Isapre,Sí,Sí,,Sí,Muy urgente,Urgente,No lo necesito,Muy urgente,Muy urgente,Muy urgente,No lo necesito,Igual que presencial,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Estación Central,Sí,Sí,6565.9058
74562865,10-12-2021,15:35:19,705,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me cambiaría a Isapre,Sí,No,,Sí,No lo necesito,Nada urgente,No lo necesito,No lo necesito,Urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Buin,Sí,Sí,6813.6841
999,10-12-2021,16:19:38,346,41-80,60+,MUJER,NC,Sí,Sí,Ninguno,,,Sí,No,,Sí,Urgente,Urgente,No lo necesito,Urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Incapacitado para trabajar,No,,Sí,,Algarrobo,No,No,6676.1055
68112527,08-12-2021,16:48:52,352,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Nada urgente,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,45000,No,No,,Pensionado,No,,No,,San Felipe,Sí,Sí,6851.6313
70031473,07-12-2021,14:51:20,282,0-40,60+,MUJER,NC,Sí,Sí,Isapre,,,No,No,No necesito,No,Poco urgente,Urgente,No lo necesito,No lo necesito,Muy urgente,No lo necesito,No lo necesito,Igual que presencial,No,,,,,,No,Sí,Sí,Trabaja remuneradamente,No,,Sí,6000,La Cisterna,Sí,Sí,6565.9058
68963531,04-12-2021,12:11:21,595,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Centro privado,"Sí, todos",,Sí,80000,Sí,No,,Trabaja remuneradamente,No,,Sí,,Requínoa,Sí,Sí,6599.2856
77069821,16-12-2021,13:56:05,285,>80-NA,60+,HOMBRE,NC,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,No,Poco urgente,Poco urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Médico particular,"No, ninguno",No se atiende en consultorio,Sí,50000,No,No,,Pensionado,No,,Sí,78000,Ñuñoa,Sí,Sí,6430
81382888,17-12-2021,18:52:04,337,>80-NA,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,No,,Otra situación,No,,No,,Linares,Sí,Sí,5814.5
71252333,10-12-2021,17:05:53,322,0-40,60+,MUJER,S,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,Sí,No,,Pensionado,No,,No,,Lumaco,Sí,Sí,6573.25
76455177,15-12-2021,15:32:18,508,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Urgente,Muy urgente,Poco urgente,Muy urgente,Poco urgente,No lo necesito,No me atendería,Sí,Médico particular,"Sí, todos",,Sí,10000,No,No,,Pensionado,No,,No,,Alto Biobío,Sí,Sí,6696.6362
73575632,06-12-2021,11:43:53,406,41-80,60+,HOMBRE,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Nada urgente,Urgente,Muy urgente,Urgente,Urgente,Sólo en restricciones,Sí,Centro privado,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,30000,No,No,,Pensionado,No,,No,,Maipú,Sí,No,6599.2856
71253078,10-12-2021,16:36:22,452,0-40,60+,HOMBRE,N,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,Urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,No,,Pensionado,No,,No,,Taltal,Sí,Sí,6800.1665
75229358,06-12-2021,16:55:32,565,0-40,60+,HOMBRE,CS,Sí,Sí,Fonasa,Condición que no cubre Isapre,,Sí,No,,No,,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,Sí,No,Otra situación,No,,No,,Chillán,Sí,No,6696.6362
71230471,11-12-2021,15:17:33,276,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,Otra razón,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Muy urgente,No lo necesito,Poco urgente,Poco urgente,Muy urgente,Poco urgente,Igual que presencial,Sí,Consultorio,"Sí, todos",,Sí,25000,No,No,,Pensionado,No,,No,,Melipilla,Sí,Sí,6676.1055
73227635,18-12-2021,13:15:42,290,>80-NA,60+,MUJER,NC,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,No,Urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Cuidado de personas,No,,No,,Cerrillos,Sí,Sí,6916.375
69181159,17-12-2021,15:37:08,308,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Nada urgente,Nada urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,Poco urgente,No me atendería,Sí,Hospital público,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,La Florida,Sí,Sí,6813.6841
76562257,08-12-2021,12:26:02,477,41-80,60+,HOMBRE,S,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,Sí,,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No me atendería,Sí,Hospital público,"Sí, todos",,Sí,25000,No,Sí,No,Pensionado,No,,No,,Angol,Sí,Sí,6759.3335
72228985,11-12-2021,13:54:13,346,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me cambiaría a Isapre,Sí,No,,Sí,Urgente,Muy urgente,,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Médico particular,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,,No,Sí,No,Pensionado,No,,Sí,10000,La Granja,Sí,Sí,6676.1055
73436499,09-12-2021,16:41:05,989,41-80,60+,MUJER,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Poco urgente,No lo necesito,Urgente,Urgente,Nada urgente,Nada urgente,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,25000,Sí,No,,Pensionado,No,,No,,Rancagua,Sí,Sí,6676.1055
80873202,13-12-2021,15:58:50,377,>80-NA,60+,MUJER,CS,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,Sí,,Sí,Poco urgente,Poco urgente,No lo necesito,Poco urgente,Urgente,Urgente,No lo necesito,Sólo en restricciones,Sí,Médico particular,"No, ninguno",No se atiende en consultorio,Sí,10000,No,No,,Pensionado,No,,No,,Cañete,Sí,Sí,5040.3335
76307416,08-12-2021,15:02:27,311,>80-NA,60+,HOMBRE,CN,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,La Serena,Sí,Sí,6742.5
77757464,08-12-2021,16:53:18,441,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,No lo necesito,Urgente,Urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,9000,No,Sí,Sí,Pensionado,No,,No,,San Joaquín,Sí,Sí,6813.6841
76076150,11-12-2021,12:33:50,305,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,,No,Sí,Sí,Pensionado,No,,No,,Lo Barnechea,Sí,No,6565.9058
83497609,10-12-2021,17:44:01,209,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Nada urgente,No lo necesito,No lo necesito,Nada urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,No,,Pensionado,No,,No,,Estación Central,Sí,Sí,6851.6313
77172707,11-12-2021,14:40:36,339,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,Sí,Pensionado,No,,No,,Valparaíso,Sí,Sí,6851.6313
80900984,10-12-2021,16:04:32,699,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Condición que no cubre Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Urgente,Muy urgente,Urgente,Muy urgente,Poco urgente,Urgente,Urgente,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,La Serena,Sí,Sí,6851.6313
67288616,09-12-2021,14:27:45,274,0-40,60+,HOMBRE,S,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,Sí,,Sí,Poco urgente,No lo necesito,Poco urgente,Poco urgente,Urgente,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,Sí,Sí,Pensionado,No,,No,,Frutillar,Sí,Sí,6797.7646
84575202,11-12-2021,12:39:49,387,41-80,60+,MUJER,CN,Sí,Sí,FFAA,,,Sí,No,,Sí,Muy urgente,Muy urgente,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,Sí,Médico particular,"No, ninguno",No se atiende en consultorio,Sí,20000,No,Sí,Sí,Pensionado,No,,No,,Quilpué,Sí,Sí,6622.8569
68221419,14-12-2021,14:39:58,257,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Por edad no conviene Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Nada urgente,Muy urgente,Nada urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,Sí,15000,Sí,No,,Pensionado,No,,No,,Ovalle,Sí,Sí,6851.6313
67622050,04-12-2021,16:10:04,513,0-40,60+,HOMBRE,CN,Sí,Sí,Fonasa,Prefiere sistema público,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,Poco urgente,No lo necesito,Muy urgente,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,No,,Pensionado,No,,No,,Chillán,Sí,Sí,6495.625
